iter	Passed	Remaining
0	1	166
1	2	145
2	4	135
3	5	123
4	6	124
5	8	125
6	9	122
7	10	120
8	12	122
9	13	120
10	14	120
11	16	117
12	17	115
13	18	113
14	19	111
15	20	110
16	22	107
17	23	107
18	24	104
19	25	103
20	26	101
21	28	99
22	29	98
23	30	97
24	32	96
25	33	94
26	34	93
27	35	92
28	37	91
29	38	90
30	39	88
31	41	88
32	42	86
33	44	85
34	45	84
35	46	83
36	48	81
37	49	80
38	50	78
39	51	77
40	52	76
41	53	73
42	54	72
43	56	71
44	57	70
45	58	68
46	60	67
47	61	66
48	63	65
49	64	64
50	65	63
51	66	61
52	68	60
53	69	59
54	70	57
55	71	56
56	72	54
57	73	53
58	75	52
59	76	50
60	77	49
61	79	48
62	80	47
63	81	45
64	82	44
65	84	43
66	85	42
67	86	40
68	87	39
69	89	38
70	90	36
71	91	35
72	92	34
73	94	33
74	95	31
75	96	30
76	98	29
77	100	28
78	102	27
79	103	25
80	104	24
81	105	23
82	107	21
83	108	20
84	109	19
85	110	18
86	111	16
87	113	15
88	114	14
89	115	12
90	117	11
91	118	10
92	119	8
93	120	7
94	122	6
95	123	5
96	124	3
97	125	2
98	126	1
99	127	0
