iter	Passed	Remaining
0	4	4271
1	7	3702
2	9	3079
3	11	2789
4	13	2647
5	15	2592
6	17	2552
7	20	2584
8	22	2492
9	24	2416
10	26	2357
11	28	2382
12	30	2302
13	33	2329
14	36	2394
15	38	2346
16	39	2291
17	40	2214
18	41	2155
19	43	2144
20	45	2118
21	46	2081
22	48	2049
23	49	2019
24	51	1996
25	52	1977
26	55	2005
27	58	2027
28	60	2014
29	63	2050
30	64	2026
31	66	2000
32	67	1970
33	69	1960
34	71	1977
35	73	1961
36	74	1941
37	75	1913
38	76	1886
39	78	1883
40	79	1865
41	80	1847
42	82	1834
43	83	1814
44	84	1794
45	86	1786
46	87	1772
47	88	1762
48	90	1756
49	91	1741
50	92	1728
51	93	1710
52	95	1698
53	96	1684
54	98	1684
55	99	1681
56	101	1672
57	102	1659
58	103	1645
59	104	1630
60	105	1616
61	106	1604
62	107	1594
63	110	1613
64	111	1609
65	113	1600
66	114	1594
67	116	1594
68	118	1593
69	119	1590
70	120	1578
71	121	1568
72	122	1558
73	124	1553
74	126	1555
75	128	1557
76	129	1548
77	130	1537
78	131	1528
79	132	1521
80	133	1513
81	135	1511
82	136	1506
83	137	1500
84	138	1493
85	139	1485
86	141	1481
87	142	1479
88	146	1494
89	147	1488
90	148	1480
91	149	1474
92	150	1466
93	151	1460
94	152	1456
95	155	1463
96	156	1458
97	157	1452
98	159	1447
99	160	1441
100	161	1435
101	164	1443
102	165	1439
103	166	1438
104	168	1438
105	172	1451
106	174	1458
107	176	1458
108	178	1458
109	179	1455
110	181	1453
111	182	1448
112	183	1441
113	184	1435
114	186	1431
115	187	1430
116	189	1431
117	191	1430
118	192	1425
119	193	1420
120	194	1414
121	195	1407
122	196	1401
123	197	1397
124	199	1396
125	200	1393
126	201	1387
127	202	1381
128	203	1376
129	205	1372
130	206	1367
131	207	1365
132	208	1362
133	210	1362
134	212	1359
135	213	1356
136	214	1351
137	215	1345
138	217	1349
139	219	1348
140	221	1348
141	222	1341
142	223	1338
143	224	1336
144	228	1345
145	229	1344
146	232	1347
147	234	1350
148	236	1351
149	238	1349
150	238	1343
151	240	1339
152	241	1334
153	241	1328
154	243	1327
155	246	1335
156	247	1330
157	248	1326
158	249	1322
159	250	1317
160	252	1313
161	255	1319
162	256	1318
163	259	1320
164	261	1323
165	263	1321
166	266	1329
167	270	1337
168	271	1336
169	273	1333
170	275	1335
171	277	1334
172	278	1331
173	279	1328
174	282	1329
175	283	1328
176	285	1327
177	286	1323
178	287	1320
179	290	1322
180	291	1319
181	293	1317
182	294	1314
183	295	1310
184	296	1306
185	298	1304
186	299	1302
187	302	1305
188	303	1304
189	305	1302
190	310	1315
191	312	1313
192	313	1311
193	314	1308
194	316	1308
195	319	1308
196	321	1309
197	322	1307
198	324	1305
199	325	1303
200	328	1306
201	330	1307
202	331	1302
203	332	1299
204	334	1295
205	336	1297
206	339	1300
207	340	1296
208	341	1293
209	342	1289
210	344	1287
211	346	1288
212	348	1288
213	350	1286
214	351	1281
215	352	1280
216	354	1279
217	356	1277
218	358	1277
219	360	1276
220	361	1275
221	364	1278
222	366	1276
223	367	1273
224	368	1268
225	369	1265
226	371	1264
227	373	1263
228	374	1260
229	376	1259
230	378	1258
231	379	1257
232	383	1261
233	386	1265
234	389	1268
235	392	1272
236	395	1274
237	398	1275
238	401	1277
239	404	1281
240	408	1286
241	411	1290
242	416	1296
243	419	1299
244	421	1298
245	422	1295
246	424	1293
247	426	1291
248	427	1289
249	429	1287
250	431	1286
251	433	1288
252	436	1288
253	438	1287
254	441	1288
255	442	1287
256	444	1285
257	446	1283
258	447	1280
259	449	1278
260	450	1275
261	452	1274
262	454	1272
263	456	1271
264	457	1268
265	460	1271
266	464	1275
267	466	1273
268	468	1274
269	472	1276
270	473	1274
271	476	1274
272	478	1273
273	481	1275
274	482	1273
275	484	1270
276	486	1268
277	488	1269
278	492	1273
279	494	1271
280	496	1269
281	499	1272
282	502	1274
283	504	1273
284	506	1271
285	508	1270
286	510	1268
287	511	1265
288	513	1263
289	515	1262
290	517	1260
291	518	1257
292	519	1254
293	522	1254
294	524	1253
295	526	1251
296	527	1249
297	529	1246
298	530	1244
299	532	1241
300	534	1240
301	535	1238
302	537	1237
303	539	1236
304	541	1234
305	543	1233
306	545	1231
307	547	1229
308	548	1226
309	550	1224
310	551	1221
311	552	1219
312	554	1217
313	556	1215
314	557	1212
315	559	1210
316	560	1207
317	561	1204
318	563	1202
319	565	1201
320	567	1199
321	569	1198
322	571	1197
323	572	1195
324	575	1194
325	576	1192
326	579	1191
327	580	1190
328	582	1188
329	588	1194
330	592	1198
331	597	1202
332	606	1214
333	612	1222
334	619	1229
335	627	1239
336	633	1246
337	636	1246
338	641	1251
339	645	1252
340	647	1251
341	649	1250
342	651	1247
343	655	1249
344	659	1251
345	664	1255
346	667	1255
347	668	1252
348	671	1252
349	674	1253
350	676	1251
351	677	1248
352	679	1245
353	681	1243
354	683	1240
355	684	1238
356	685	1235
357	688	1235
358	695	1242
359	699	1243
360	701	1241
361	702	1238
362	704	1236
363	706	1233
364	707	1230
365	708	1228
366	710	1225
367	711	1221
368	712	1219
369	714	1216
370	716	1213
371	717	1211
372	719	1209
373	721	1208
374	723	1205
375	724	1202
376	725	1199
377	727	1196
378	728	1193
379	729	1190
380	730	1187
381	732	1184
382	733	1181
383	734	1178
384	736	1176
385	737	1173
386	739	1170
387	741	1169
388	742	1166
389	744	1163
390	745	1160
391	746	1157
392	747	1154
393	749	1152
394	750	1149
395	751	1146
396	754	1145
397	756	1143
398	757	1140
399	759	1138
400	761	1136
401	762	1134
402	763	1131
403	764	1128
404	765	1125
405	767	1123
406	769	1120
407	770	1118
408	772	1115
409	773	1112
410	774	1110
411	776	1108
412	780	1109
413	782	1107
414	783	1104
415	784	1101
416	785	1098
417	787	1096
418	789	1094
419	790	1091
420	791	1089
421	793	1086
422	795	1084
423	799	1086
424	800	1083
425	802	1081
426	804	1079
427	805	1076
428	806	1073
429	808	1071
430	809	1068
431	810	1066
432	812	1063
433	813	1061
434	816	1059
435	818	1058
436	819	1056
437	821	1053
438	824	1053
439	827	1052
440	830	1052
441	834	1053
442	836	1051
443	838	1049
444	840	1048
445	842	1046
446	845	1046
447	847	1044
448	849	1042
449	851	1040
450	853	1039
451	855	1036
452	856	1034
453	857	1031
454	861	1031
455	862	1029
456	864	1027
457	866	1025
458	869	1024
459	870	1022
460	872	1020
461	875	1019
462	877	1018
463	879	1016
464	882	1014
465	883	1012
466	885	1010
467	889	1010
468	892	1010
469	893	1007
470	895	1006
471	899	1005
472	900	1003
473	902	1001
474	903	999
475	907	998
476	910	997
477	911	995
478	912	992
479	913	989
480	915	987
481	916	984
482	917	982
483	919	980
484	921	978
485	922	975
486	923	973
487	925	970
488	926	968
489	928	966
490	929	963
491	930	961
492	931	958
493	933	956
494	935	954
495	937	952
496	939	950
497	940	948
498	941	945
499	942	942
500	944	940
501	945	937
502	946	935
503	947	932
504	949	930
505	952	929
506	954	928
507	955	925
508	957	923
509	958	920
510	960	918
511	961	916
512	962	913
513	963	911
514	965	908
515	966	906
516	967	903
517	968	901
518	969	898
519	970	896
520	971	893
521	973	890
522	974	888
523	975	885
524	976	883
525	977	880
526	978	878
527	981	876
528	981	874
529	983	871
530	984	869
531	985	867
532	986	864
533	987	862
534	989	859
535	990	857
536	991	855
537	992	852
538	993	850
539	994	847
540	995	845
541	996	842
542	999	840
